ID_Cliente,Churn,Genero,Idoso,Parceiro,Dependentes,Meses_Contrato,Servico_Telefone,Multiplas_Linhas,Servico_Internet,Seguranca_Online,Backup_Online,Protecao_Dispositivo,Suporte_Tecnico,Streaming_TV,Streaming_Filmes,Contrato,Fatura_Online,Metodo_Pagamento,Gasto_Mensal,Gasto_Total
1442-BQPVU,Nao,Feminino,0,Nao,Nao,13,Nao,Sem servico de telefone,DSL,No,Yes,No,No,No,No,Month-to-month,Nao,Electronic check,29.15,357.15
1442-OKRJE,Nao,Masculino,0,Sim,Sim,66,Sim,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Sim,Bank transfer (automatic),103.15,7031.3
1444-VVSGW,Sim,Masculino,0,Sim,Nao,70,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Nao,Credit card (automatic),115.65,7968.85
1447-GIQMR,Sim,Masculino,0,Sim,Nao,1,Sim,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Sim,Electronic check,69.15,69.15
1447-PJGGA,Sim,Feminino,0,Nao,Nao,57,Sim,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Sim,Electronic check,95.25,5464.65
1448-CYWKC,Nao,Feminino,0,Sim,Sim,58,Sim,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Sim,Credit card (automatic),105.2,6225.4
1448-PWKYE,Sim,Masculino,0,Sim,Sim,1,Sim,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Nao,Electronic check,80.0,80.0
1449-XQEMT,Sim,Masculino,0,Nao,Nao,3,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Sim,Mailed check,19.8,58.15
1450-GALXR,Sim,Feminino,0,Nao,Nao,10,Sim,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Sim,Electronic check,98.5,1058.25
1450-SKCVI,Sim,Feminino,0,Nao,Nao,56,Sim,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Sim,Electronic check,73.85,4092.85
1452-KIOVK,Nao,Masculino,0,Nao,Sim,22,Sim,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Sim,Credit card (automatic),89.1,1949.4
1452-UZOSF,Nao,Masculino,0,Sim,Sim,72,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Sim,Credit card (automatic),106.1,7548.6
1452-VOQCH,Nao,Masculino,0,Nao,Nao,1,Sim,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Sim,Electronic check,75.1,75.1
1452-XRSJV,Nao,Feminino,0,Sim,Sim,39,Sim,No,DSL,Yes,No,No,No,No,No,Month-to-month,Nao,Credit card (automatic),51.05,2066.0
1453-RZFON,Nao,Feminino,0,Nao,Sim,1,Sim,No,DSL,Yes,No,No,No,No,No,Month-to-month,Nao,Mailed check,49.9,49.9
1455-ESIQH,Sim,Masculino,0,Nao,Nao,1,Sim,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Sim,Electronic check,89.1,89.1
1455-HFBXA,Nao,Masculino,0,Sim,Nao,52,Sim,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Sim,Credit card (automatic),91.6,4627.8
1455-UGQVH,Sim,Masculino,0,Sim,Nao,10,Sim,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Sim,Electronic check,98.5,1037.75
1456-TWCGB,Nao,Masculino,0,Nao,Nao,4,Sim,No,DSL,No,Yes,No,No,No,No,Month-to-month,Nao,Mailed check,49.25,208.45
1459-QNFQT,Nao,Masculino,0,Sim,Sim,70,Nao,Sem servico de telefone,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Nao,Bank transfer (automatic),59.5,4144.8
1460-UZPRJ,Nao,Masculino,0,Sim,Nao,60,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Mailed check,19.95,1258.15
1465-LNTLJ,Nao,Masculino,1,Sim,Nao,8,Sim,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Sim,Credit card (automatic),64.4,581.7
1465-VINDH,Sim,Feminino,0,Sim,Sim,10,Sim,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Sim,Credit card (automatic),102.1,1068.85
1465-WCZVT,Nao,Feminino,0,Sim,Sim,3,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Mailed check,19.65,60.65
1468-DEFNC,Nao,Masculino,1,Sim,Sim,64,Sim,Yes,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Sim,Bank transfer (automatic),24.4,1548.65
1469-LBJQJ,Nao,Feminino,0,Sim,Nao,66,Sim,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Sim,Electronic check,105.2,6936.85
1470-PSXNM,Nao,Masculino,0,Sim,Sim,49,Sim,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Sim,Electronic check,93.65,4520.15
1471-GIQKQ,Nao,Feminino,0,Nao,Nao,1,Sim,No,DSL,No,Yes,No,No,No,No,Month-to-month,Nao,Electronic check,49.95,49.95
1472-TNCWL,Nao,Masculino,0,Nao,Sim,36,Sim,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Sim,Electronic check,94.7,3512.5
1474-JUWSM,Nao,Feminino,0,Sim,Nao,58,Sim,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Sim,Electronic check,68.4,3972.25
1475-VWVDO,Nao,Masculino,0,Nao,Nao,7,Sim,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Sim,Electronic check,74.9,490.55
1478-VPOAD,Nao,Feminino,0,Nao,Nao,1,Sim,No,DSL,No,No,No,No,No,No,Month-to-month,Nao,Electronic check,43.8,43.8
1480-BKXGA,Nao,Masculino,1,Sim,Nao,72,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sim,Bank transfer (automatic),116.05,8404.9
1480-IVEVR,Nao,Masculino,1,Sim,Nao,35,Sim,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Sim,Bank transfer (automatic),81.6,2815.25
1481-ZUWZA,Sim,Masculino,0,Nao,Nao,28,Sim,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Sim,Credit card (automatic),94.5,2659.4
1482-OXZSY,Nao,Masculino,0,Nao,Nao,30,Sim,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Sim,Bank transfer (automatic),100.4,2936.25
1485-YDHMM,Nao,Masculino,0,Sim,Sim,52,Sim,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Sim,Bank transfer (automatic),93.25,4631.7
1488-PBLJN,Nao,Feminino,0,Sim,Sim,72,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sim,Bank transfer (automatic),116.85,8477.7
1488-SYSFC,Nao,Masculino,0,Sim,Sim,31,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Sim,Electronic check,20.65,702.05
1492-KGETH,Nao,Masculino,0,Sim,Sim,70,Sim,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Nao,Bank transfer (automatic),78.35,5445.95
1492-QGCLU,Nao,Masculino,0,Sim,Sim,53,Sim,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Nao,Electronic check,85.7,4616.1
1493-AMTIE,Sim,Masculino,0,Nao,Nao,1,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Sim,Bank transfer (automatic),20.2,20.2
1494-EJZDW,Nao,Feminino,0,Sim,Sim,10,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Mailed check,20.15,220.8
1496-GGSUK,Sim,Feminino,1,Nao,Nao,1,Nao,Sem servico de telefone,DSL,No,No,No,No,No,No,Month-to-month,Sim,Mailed check,25.7,25.7
1498-DQNRX,Nao,Feminino,0,Sim,Nao,29,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Mailed check,19.85,573.05
1498-NHTLT,Nao,Masculino,0,Sim,Sim,59,Sim,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sim,Electronic check,86.75,5186.0
1501-SGHBW,Sim,Masculino,0,Nao,Nao,2,Sim,No,DSL,No,No,No,No,No,No,Month-to-month,Nao,Mailed check,45.85,81.0
1502-XFCVR,Sim,Feminino,0,Nao,Nao,58,Sim,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Sim,Electronic check,106.45,6145.85
1506-YJTYT,Nao,Masculino,0,Sim,Sim,45,Sim,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Nao,Credit card (automatic),73.85,3371.0
1508-DFXCU,Nao,Masculino,0,Nao,Nao,12,Sim,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Sim,Electronic check,81.45,912.0
1513-XNPPH,Sim,Feminino,0,Nao,Nao,12,Sim,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Sim,Electronic check,89.4,1095.65
1518-OMDIK,Nao,Masculino,0,Sim,Nao,33,Sim,No,DSL,No,No,No,No,No,No,Month-to-month,Sim,Credit card (automatic),44.55,1462.6
1518-VOWAV,Sim,Feminino,0,Nao,Nao,9,Sim,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Sim,Electronic check,74.65,703.55
1522-VVDMG,Sim,Masculino,0,Sim,Sim,7,Sim,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Sim,Electronic check,89.75,608.8
1525-LNLOJ,Nao,Masculino,0,Sim,Sim,66,Sim,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Sim,Bank transfer (automatic),63.3,4189.7
1527-SXDPN,Sim,Masculino,0,Sim,Sim,52,Sim,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Sim,Bank transfer (automatic),96.25,4990.25
1530-ZTDOZ,Nao,Feminino,0,Sim,Nao,49,Nao,Sem servico de telefone,DSL,Yes,No,No,No,Yes,No,Month-to-month,Nao,Bank transfer (automatic),40.65,2070.75
1534-OULXE,Nao,Feminino,0,Sim,Sim,61,Sim,No,DSL,Yes,No,No,No,No,No,One year,Sim,Bank transfer (automatic),49.7,2961.4
1535-VTJOQ,Nao,Feminino,0,Nao,Nao,24,Sim,Yes,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Credit card (automatic),25.15,553.0
1536-HBSWP,Nao,Feminino,0,Nao,Nao,1,Sim,No,DSL,No,No,No,Yes,No,No,Month-to-month,Sim,Electronic check,49.9,49.9
1536-YHDOE,Nao,Masculino,0,Sim,Sim,17,Sim,Yes,DSL,Yes,No,No,Yes,No,No,One year,Sim,Mailed check,62.1,1096.65
1539-LNKHM,Nao,Feminino,0,Nao,Nao,12,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Mailed check,20.4,266.6
1541-ETJZO,Sim,Masculino,0,Nao,Nao,1,Sim,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Nao,Mailed check,62.05,62.05
1543-LLLFT,Nao,Masculino,1,Sim,Nao,61,Sim,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Sim,Mailed check,98.3,6066.55
1544-JJMYL,Nao,Masculino,0,Nao,Nao,27,Sim,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Nao,Credit card (automatic),69.35,1927.3
1545-ACTAS,Nao,Feminino,0,Sim,Sim,48,Sim,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Sim,Bank transfer (automatic),99.7,4977.2
1545-JFUML,Nao,Masculino,0,Sim,Nao,71,Sim,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Sim,Electronic check,99.0,6994.6
1548-ARAGG,Nao,Feminino,0,Sim,Sim,4,Sim,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Sim,Mailed check,58.5,224.85
1548-FEHVL,Nao,Masculino,0,Sim,Nao,61,Sim,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Sim,Electronic check,106.2,6375.2
1550-EENBN,Nao,Feminino,0,Nao,Nao,31,Sim,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Nao,Electronic check,104.35,3205.6
1550-LOAHA,Sim,Feminino,0,Sim,Nao,32,Sim,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Nao,Bank transfer (automatic),84.15,2585.95
1552-AAGRX,Nao,Feminino,0,Nao,Nao,30,Sim,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Nao,Bank transfer (automatic),106.4,3211.9
1552-CZCLL,Nao,Feminino,0,Sim,Sim,55,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Credit card (automatic),20.0,1087.25
1552-TKMXS,Nao,Feminino,0,Sim,Nao,42,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Credit card (automatic),20.35,869.9
1555-DJEQW,Sim,Feminino,0,Sim,Sim,70,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sim,Bank transfer (automatic),114.2,7723.9
1555-HAPSU,Nao,Feminino,0,Sim,Sim,71,Sim,Yes,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Credit card (automatic),23.9,1663.5
1557-EMYVT,Nao,Feminino,0,Nao,Nao,43,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Nao,Credit card (automatic),115.05,4895.1
1559-DTODC,Nao,Masculino,0,Nao,Nao,19,Nao,Sem servico de telefone,DSL,No,No,No,No,No,No,Month-to-month,Sim,Bank transfer (automatic),25.15,468.35
1561-BWHIN,Nao,Masculino,0,Sim,Sim,19,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,One year,Nao,Mailed check,19.8,344.5
1563-IWQEX,Nao,Feminino,0,Nao,Nao,12,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Mailed check,19.7,220.35
1564-HJUVY,Nao,Masculino,0,Nao,Nao,4,Sim,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Sim,Bank transfer (automatic),63.75,226.2
1564-NTYXF,Sim,Feminino,1,Nao,Nao,13,Sim,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Sim,Electronic check,82.0,1127.2
1565-RHDJD,Sim,Feminino,0,Nao,Sim,4,Sim,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Nao,Bank transfer (automatic),84.05,333.55
1567-DSCIC,Sim,Masculino,0,Nao,Nao,8,Sim,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Sim,Electronic check,94.0,773.65
1568-BEKZM,Nao,Masculino,1,Sim,Nao,70,Sim,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Nao,Credit card (automatic),90.05,6333.4
1568-LJSZU,Nao,Masculino,0,Sim,Sim,68,Sim,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sim,Credit card (automatic),92.2,6392.85
1569-TTNYJ,Sim,Masculino,0,Sim,Nao,5,Sim,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Sim,Electronic check,78.75,412.1
1571-SAVHK,Sim,Masculino,0,Nao,Nao,12,Sim,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Sim,Mailed check,99.95,1132.75
1573-LGXBA,Nao,Masculino,0,Sim,Sim,57,Sim,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Sim,Credit card (automatic),97.55,5598.0
1574-DYCWE,Nao,Feminino,0,Sim,Sim,51,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Mailed check,19.95,1028.75
1575-KRZZE,Nao,Feminino,0,Nao,Nao,4,Sim,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Nao,Electronic check,55.2,220.65
1576-PFZIW,Nao,Masculino,1,Sim,Nao,70,Sim,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Nao,Credit card (automatic),105.35,7511.9
1577-HKTFG,Sim,Feminino,0,Sim,Nao,30,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Bank transfer (automatic),19.65,655.85
1579-KLYDT,Sim,Masculino,0,Nao,Nao,7,Sim,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Sim,Electronic check,90.45,593.45
1580-BMCMR,Nao,Masculino,1,Nao,Nao,19,Sim,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Sim,Electronic check,87.3,1637.3
1582-RAFML,Sim,Masculino,0,Nao,Nao,1,Sim,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Nao,Mailed check,60.1,60.1
1583-IHQZE,Sim,Masculino,0,Nao,Nao,12,Sim,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Sim,Mailed check,112.95,1384.75
1585-MQSSU,Sim,Masculino,0,Nao,Nao,17,Sim,No,DSL,No,No,No,Yes,No,No,Month-to-month,Nao,Mailed check,51.5,900.5
1587-FKLZB,Sim,Masculino,1,Sim,Sim,66,Sim,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Sim,Credit card (automatic),99.5,6822.15
1589-AGTLK,Sim,Masculino,0,Nao,Nao,3,Sim,No,DSL,No,No,No,No,No,No,Month-to-month,Sim,Electronic check,45.35,141.5
1591-MQJTP,Nao,Masculino,1,Sim,Nao,51,Sim,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Sim,Bank transfer (automatic),93.65,4839.15
1591-NFNLQ,Sim,Masculino,0,Nao,Nao,51,Sim,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Nao,Credit card (automatic),80.0,4242.35
1591-XWLGB,Nao,Feminino,0,Sim,Nao,71,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Credit card (automatic),19.85,1379.6
1596-BBVTG,Sim,Masculino,0,Nao,Nao,35,Sim,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Nao,Credit card (automatic),75.35,2636.05
1596-OQSPS,Nao,Feminino,0,Nao,Nao,11,Sim,No,DSL,No,Yes,No,No,No,No,Month-to-month,Nao,Electronic check,51.1,531.15
1597-FZREH,Sim,Feminino,0,Nao,Nao,2,Sim,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Nao,Electronic check,76.4,160.8
1597-LHYNC,Sim,Feminino,1,Nao,Nao,26,Sim,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Sim,Electronic check,95.0,2497.2
1599-EAHXY,Nao,Masculino,0,Sim,Sim,60,Sim,Yes,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,One year,Nao,Credit card (automatic),23.95,1506.4
1599-MMYRQ,Nao,Masculino,0,Sim,Sim,62,Sim,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Sim,Credit card (automatic),81.45,4983.05
1600-DILPE,Nao,Feminino,0,Nao,Nao,12,Sim,No,DSL,No,No,No,No,No,No,Month-to-month,Sim,Bank transfer (automatic),45.0,524.35
1602-IJQQE,Sim,Feminino,0,Nao,Nao,4,Sim,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Nao,Electronic check,75.35,338.1
1608-GMEWB,Nao,Masculino,1,Nao,Nao,45,Sim,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Sim,Bank transfer (automatic),93.9,4200.25
1612-EOHDH,Sim,Feminino,0,Nao,Nao,1,Sim,No,DSL,No,No,No,No,No,No,Month-to-month,Nao,Electronic check,45.15,45.15
1614-JBEBI,Nao,Feminino,0,Nao,Nao,8,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Sim,Mailed check,20.7,137.6
1618-CFHME,Sim,Feminino,0,Nao,Nao,2,Sim,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Sim,Electronic check,75.9,143.35
1619-YWUBB,Nao,Feminino,0,Sim,Nao,68,Sim,Yes,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Sim,Credit card (automatic),24.95,1614.9
1621-YNCJH,Nao,Feminino,0,Sim,Nao,36,Sim,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Sim,Credit card (automatic),106.05,3834.4
1622-HSHSF,Nao,Feminino,0,Nao,Nao,1,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Sim,Mailed check,19.55,19.55
1623-NLDOT,Sim,Feminino,0,Sim,Nao,42,Nao,Sem servico de telefone,DSL,No,Yes,No,Yes,No,No,One year,Nao,Mailed check,33.55,1445.3
1624-NALOJ,Sim,Masculino,1,Nao,Nao,5,Sim,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Sim,Electronic check,89.8,502.6
1624-WOIWJ,Sim,Feminino,0,Nao,Nao,10,Sim,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Sim,Mailed check,84.7,832.05
1625-JAIIY,Sim,Feminino,0,Sim,Sim,68,Sim,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Sim,Electronic check,83.0,5685.8
1626-ERCMM,Sim,Masculino,1,Sim,Nao,20,Sim,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Sim,Electronic check,94.55,1899.65
1627-AFWVJ,Nao,Feminino,0,Nao,Nao,29,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Mailed check,19.4,554.25
1628-BIZYP,Nao,Masculino,0,Nao,Nao,1,Sim,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Sim,Electronic check,85.0,85.0
1629-DQQVB,Nao,Feminino,0,Nao,Nao,14,Sim,No,DSL,Yes,No,No,No,No,No,Month-to-month,Nao,Bank transfer (automatic),50.1,709.5
1635-FJFCC,Nao,Feminino,0,Nao,Nao,5,Sim,No,DSL,No,No,No,No,No,No,Month-to-month,Sim,Credit card (automatic),44.05,202.15
1635-HDGFT,Nao,Feminino,0,Nao,Sim,19,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Mailed check,20.5,398.55
1635-NZATJ,Nao,Masculino,1,Sim,Nao,71,Sim,Yes,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Credit card (automatic),25.45,1789.65
1636-NTNCO,Nao,Masculino,1,Nao,Nao,4,Nao,Sem servico de telefone,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Sim,Credit card (automatic),50.95,207.35
1640-PLFMP,Nao,Feminino,0,Nao,Nao,1,Sim,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Sim,Electronic check,70.25,70.25
1641-BYBTK,Nao,Masculino,0,Nao,Sim,6,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Sim,Mailed check,20.2,98.35
1641-RQDAY,Nao,Feminino,1,Sim,Sim,32,Sim,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Sim,Electronic check,100.4,3217.65
1642-HMARX,Nao,Feminino,0,Sim,Nao,68,Sim,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sim,Electronic check,91.7,6424.7
1644-IRKSF,Sim,Feminino,0,Sim,Sim,33,Sim,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Sim,Electronic check,93.8,3124.5
1656-DRSMG,Nao,Feminino,0,Nao,Nao,63,Sim,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Sim,Credit card (automatic),109.85,7002.95
1657-DYMBM,Nao,Masculino,0,Sim,Nao,53,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Two year,Nao,Credit card (automatic),19.9,1110.05
1658-BYGOY,Sim,Masculino,1,Nao,Nao,18,Sim,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Sim,Electronic check,95.45,1752.55
1658-TJVOA,Nao,Feminino,1,Nao,Nao,6,Sim,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Sim,Electronic check,74.1,450.9
1658-XUHBX,Nao,Feminino,1,Sim,Sim,59,Sim,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Sim,Credit card (automatic),88.75,5348.65
1660-HSOOQ,Sim,Masculino,0,Nao,Nao,1,Sim,No,DSL,No,No,Yes,No,No,No,Month-to-month,Sim,Mailed check,49.65,49.65
1661-CZBAU,Nao,Masculino,0,Nao,Nao,48,Sim,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Sim,Bank transfer (automatic),70.95,3629.2
1663-MHLHE,Nao,Masculino,0,Nao,Nao,1,Sim,No,No,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Sem servico de internet,Month-to-month,Nao,Mailed check,19.2,19.2
1666-JXLKU,Nao,Feminino,0,Nao,Nao,37,Sim,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Sim,Electronic check,100.05,3810.55
1666-JZPZT,Nao,Masculino,0,Nao,Nao,27,Sim,Yes,DSL,No,No,No,No,No,No,Month-to-month,Nao,Mailed check,49.0,1291.35
1670-SVOWZ,Sim,Feminino,0,Sim,Sim,14,Sim,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Sim,Credit card (automatic),89.65,1208.35
1676-MQAOA,Nao,Masculino,0,Nao,Nao,72,Sim,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Sim,Bank transfer (automatic),75.1,5336.35
1678-FYZOW,Sim,Feminino,0,Nao,Nao,3,Sim,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Sim,Electronic check,79.4,244.65
1679-JRFBR,Nao,Feminino,0,Sim,Sim,70,Sim,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Sim,Credit card (automatic),108.15,7930.55
